PROVIDER,CITY,COUNTRY
CABINET MEDICAL YAYE ARAME NDIAYE,L HAMO 6 VILLA 102,SENEGAL
CLINIQUE INTERNATIONALE MA-SALAM,GUEDIAWAYE,SENEGAL
PLATEAU MEDICAL YOUKOUS,"GOMBA, KEDOUGOU",SENEGAL
CABINET MEDICAL GYNEPLUS,"VDN, LIBERTÉ 6 EXTENSION",SENEGAL
CLINIQUE RAHMA,"MERMOZ, DAKAR 10700",SENEGAL
CLINIQUE DU CARREFOUR DR YOUSSOUPHA M. KANE,"5 ROUTE DE KHOR
",SENEGAL
CLINIQUE DU CAYOR,THIES SUD,SENEGAL
PRESTATAIRE LOCAL HORS RESEAU_RD,LOCAL HORS RESEAU,SENEGAL
SOS DERMATOLOGUE,"QUARTIER SOS DERMATO, SOMONE FACE DE L'ARBRE A PALABRE",SENEGAL
POLYCLINIQUE DE L'AMITIE ET DE L'ALLIANCE,312 CITÉ DJILY MBAYE À YOFF,SENEGAL
PLATEAU MEDICAL CHEIKHAL ISLAM B. NIASS,"VDN, DERRIÈRE RESIDENCE MAMOUNE",SENEGAL
HOPITAL SAINT JEAN DE DIEU,QUARTIER DIAKHAO - THIALY,SENEGAL
CLINIQUE SARR MBORO,MBORO - QUARTIER DIAMAGUENE,SENEGAL
CLINIQUE SARR KAOLACK,"241 RUE DE FRANCE, KAOLACK",SENEGAL
CLINIQUE KINE ,"9635 RUE SC 65 SACRÉ CŒUR, DAKAR",SENEGAL
CLINIQUE KHALIFA ABABACAR SY DE MBORO,FACE STATION TOTAL,SENEGAL
CLINIQUE CASAHOUS,"5, RUE THIONG",SENEGAL
CLINIQUE ABSA GRAND MBAO,GRAND MBAO EXTENSION ,SENEGAL
CENTRE HOSPITALIER REGIONAL DE TAMBACOUNDA,QUINZANBOUGOU MEDINA COURA,SENEGAL
CENTRE HOSPITALIER REGIONAL AMATH DANSOKHO,DIMBOLI SUR LA ROUTE DE KEDOUGOU APRÈS ECOLE AFIA DANDE MAYO,SENEGAL
CENTRE D'AIDES AUDITIVES DR TAÏSSIR CHAM ,"39, RUE FELIX FAURE",SENEGAL
CABINET PARAMEDICAL CALM,234-235 CITÉ MAME DIOR ROUTE DE JA,SENEGAL
DR SERIGNE DJIBRIL DIOP EX CABINET MEDICAL YAYE ,DJILY MBAYE N°328 YOFF,SENEGAL
CABINET MEDICAL MEDICARE / USM,"BOURGUIBA
",SENEGAL
CLINIQUE  MATLABOU SHIFAI,"6 RUE FLEURUS, DAKAR",SENEGAL
IMTS-DEMO,WTW,SENEGAL
PRESTATAIRE AFRIQUE_RD,AFRIQUE,SENEGAL
PRESTATAIRE FRANCE_RD,FRANCE,SENEGAL
ANCIEN PRESTATAIRE LOCAL HORS RESEAU_RD,LOCAL HORS RESEAU,SENEGAL
PRESTATAIRE RESTE DU MONDE_RD,RESTE DU MONDE,SENEGAL
DERMACARE CABINET – DR NDÈYE NGUENARE DIOP,144 RUE JOSEPH GOMIS,SENEGAL
DR CHEHADI SOULEYMANE,22 RUE DU DOCTEUR GUILLET X AVENUE PASTEUR,SENEGAL
DR DIENG MAME THIERNO,GLOBAL SANTÉ - ANCIENNE PISTE MERMOZ LOT 30,SENEGAL
DR HAKIM HADI,70 RUE AMADOU ASSANE NDOYE,SENEGAL
DR HANE MAMADOU,CABINET HANDERMA – 12 RUE JULES FERRY,SENEGAL
DR KHACHLA ARAB IMANE,PLATEAU MÉDICAL OUAKAM,SENEGAL
DR NDIAYE IBRAHIMA,3 RUE ESCARFAIT X RUE VINCENS,SENEGAL
DR NDIAYE KARIM,178 AVENUE LAMINE GUÈYE,SENEGAL
PR DIALLO MOUSSA,14 RUE ABDOU KARIM BOURGI,SENEGAL
DR COUMBA DIARRA,SERIGNE SALIOU MEDICAL / CITÉ DES MAGISTRATS VILLA N°110/M,SENEGAL
DR KANE AWA MBOW,CLINIQUE MEDIC’KANE – 81 SQUARE SACRÉ CŒUR VDN,SENEGAL
DR CABOU ISABELLE,45 BOULEVARD DE LA RÉPUBLIQUE,SENEGAL
DR DIAW AMADOU,12 RUE JULES FERRY,SENEGAL
DR JOUNI HUSSEIN,CLINIQUE DE LA MADELEINE – 18 AVENUE DES JAMBAARS,SENEGAL
DR KA MAMADOU MOURTALLA,GLOBAL SANTÉ - ANCIENNE PISTE MERMOZ LOT 30,SENEGAL
DR HOUSSEYNOU JOUNI,"CLINIQUE DE LA MADELEINE 18, AV DES DIAMBARS DAKAR",SENEGAL
PAPA SALIOU MBAYE,"PLATEAU, 14 RUE ABDOU KARIM BOUGI, DAKAR",SENEGAL
DR MANDING ALBERT MANGA,"32 RUE JULES FERRY.
DAKAR",SENEGAL
DR RALIA FATTAH,69 RUE FELIX FAURE 1ER ETAGE À DROITE,SENEGAL
CABINET MEDICAL ASSIROU,2082 LIBERTÉ 3 AVENUE BOURGUIBA,SENEGAL
CABINET MEDICAL HOSANNA – DR LAURENTINE DAMIBA,LIBERTÉ 6 EXTENSION – CITÉ ASECNA,SENEGAL
CENTRE MEDICAL CLEO - DR MAMA RACINE SY,VDN MERMOZ PYROTECHNIE LOT. N°17,SENEGAL
DR ADJAKOU JOËL,"PLATEAU MÉDICAL PATTE D’OIE, PATTE D’OIES BUILDERS N°K10",SENEGAL
DR AIDIBE MAHMOUD,CLINIQUE DE LA MADELEINE ,SENEGAL
DR ALIPIO RAYMOND,CLINIQUE FANN HOCK – RUE 55 X 70 FANN HOCK,SENEGAL
DR BA NDÈYE MAGATTE NDIAYE,76 RUE CARNOT,SENEGAL
DR BA YACINE NIANG,27 AVENUE CHEIKH A. BAMBA – IMM. ADJA GAYE SECK,SENEGAL
DR BAMPOKY PROSPER,RUE D X CHEIKH ANTA DIIOP – 1ÈRE À GAUCHE CABINET MÉDICAL DE LA PISCINE,SENEGAL
DR BEYNIS RENÉ,70 BLD DE LA RÉPUBLIQUE,SENEGAL
DR BINETA NDONGO SENE,2082 LIBERTÉ 3 AVENUE BOURGUIBA,SENEGAL
DR CISSE LAMINE,CLINIQUE NIANG – SGH – BOULEVARD DU GÉNÉRAL DE GAULLE,SENEGAL
DR CISSOKHO BENGALY L.,RUE 13 LIBERTÉ V IMM. 5658,SENEGAL
DR DANSOKHO ALSEYNI,PARCELLES ASSAINIES UNITÉ 14 VILLA N°300/ A COTÉ DE BHS PARCELLE,SENEGAL
DR DANSOKHO LEILA DAHER,PARCELLES ASSAINIES UNITÉ 14 VILLA N°300,SENEGAL
DR FARID ILHAM F.,ALLÉES PAPA GUÈYE FALL – TRIANGLE SUD,SENEGAL
DR FAYE EL H. OUSSEYNOU,CLINIQUE NIANG – SGH – BOULEVARD DU GÉNÉRAL DE GAULLE,SENEGAL
ALAFIA ZENITH MEDICAL DR GÉRARD C. FAYEMI,N°4 RTE DE LA CORNICHE OUEST FANN HOCK,SENEGAL
DR HOJEIGE ALY,CLINIQUE DU PLATEAU ,SENEGAL
DR KOUEDOU DANIEL,RUE A X ALLÉES SEYDOU NOUROU TALL,SENEGAL
DR KPEKPEDE CHRISTIAN FRANCK C.,CITÉ KEUR GORGUI RÉSIDENCE SABLUX,SENEGAL
DR LAMINE DIOUF,CABINET MÉDICAL YAKAAR - SICAP FOIRE EN FACE HLM GRAND YOFF,SENEGAL
DR LY RACINE MAMADOU,"36, RUE WAGANE DIOUF",SENEGAL
DR MAME ROSE SALL,CABINET MÉDICAL MAROSE – OUKAM GOUYE SOR – DERRIÈRE STATION TOTAL,SENEGAL
DR NIANG DIELIA,"14, RUE BÉRANGER FERRAUD",SENEGAL
DR PINA MANUEL,12 RUE JULES FERRY,SENEGAL
DR RAAD BRAHIM,10 RUE DE THIONG,SENEGAL
DR SANGO SANOUSSY,CITÉ KEUR GORGUI,SENEGAL
DR SARR ALIOUNE,"CLINIQUE PASTEUR – 50, RUE CARNOT",SENEGAL
DR THIAM ROKHAYA BA,LIBERTÉ 6 EXTENSION,SENEGAL
DR TRAORE AMINATA NDIAYE,SACRÉ CŒUR CITÉ KEUR GORGUI N°R67,SENEGAL
DR ZAYAT ALI,CLINIQUE DE LA MADELEINE ,SENEGAL
PR OUSMANE KA,CLINIQUE DE LA MADELEINE- 18 AVENUE DES JAMBAARS,SENEGAL
DR AMINATA TOURE HAIDARA,"ROUTE DE LA CORNICHE OUEST, FANN HOCK
BP 5027 DAKAR",SENEGAL
DR PHILIPPE MARC MOREIRA,"HÔPITAL ARISTIDE LE DANTEC, 30, AVENUE PASTEUR",SENEGAL
DR ALASSANE DIOUF,CENTRE HOSPITALIER NATIONAL DE PIKINE: EX CAMP MILITAIRE DE THIAROYE,SENEGAL
CLINIQUE AMY DIOUF SARL,ZAK MBAO DAKAR,SENEGAL
CABINET MEDICAL ASSIROU,NE PAS UTILISER,SENEGAL
CABINET DE KINÉSITHÉRAPIE « CHEZ MON KINÉ »,CITÉ KEUR GORGUI LOT N°29 IMM. LAMA KAHN,SENEGAL
CENTRE NATIONAL D’APPAREILLAGE ORTHOPÉDIQUE,RUE AIMÉ CÉSAIRE – FANN RÉSIDENCE,SENEGAL
DR MAGUETTE DIEYE,GLOBAL SANTÉ – SOTRAC MERMOZ LOT N° 30 ANCIENNE PISTE,SENEGAL
FATIH MOUNA,11 RUE NANI FANN HOCK,SENEGAL
KEITA MAMADOU LAMINE,SIPRES 2 IMMEUBLE PA FALL,SENEGAL
SENE FATOU BINTOU,MERMOZ PYROTECHNIE – VDN EN FACE CITÉ KEUR GORGUI,SENEGAL
SIKLAOUI HUSSEIN,71 RUE FÉLIX FAURE,SENEGAL
C.D.R.M.M.,18 RUE LÉO FROBENIUS,SENEGAL
IMEHRA - CABINET DE RADIOLOGIE ET D IMAGERIEMEDICALE HAMDOU RABBY  ,THIES ,SENEGAL
INSTITUT PASTEUR,36 AVENUE PASTEUR,SENEGAL
LABORATOIRE ANALAB,37 AVENUE CHEIKH ANTA DIOP,SENEGAL
LABORATOIRE BIO 24,6.8 RUE ABDOU KARIM BOURGI,SENEGAL
LABORATOIRE BIO AMARIE,LEONA KL RUE DE FRANCE X AVENUE PASTEUR,SENEGAL
LABORATOIRE BIO NDAR,RTE DE KHOR SOR,SENEGAL
LABORATOIRE BIORAM,"RUFISQUE OUEST LOT N°79, POINT SOCABEG VERS CITÉ SIPRES",SENEGAL
LABORATOIRE D’ANALYSE SEN LABO,LIBERTÉ 6 EXTENSION N°121,SENEGAL
LABORATOIRE D’ANALYSES BIONEX SARL,LOT. N°28 IMMEUBLE BOA FACE CENTRE DE SANTÉ PHILIPPE M. SENGHOR RD POINT YOFF OUEST FOIRE,SENEGAL
LABORATOIRE D’ANALYSES MEDICALES BIO AHWA DU RAIL,ROND-POINT PARCELLES VILLA 780,SENEGAL
LABORATOIRE D’ANALYSES PRODIAMED,COMPLEXE GAMMA N°3079 AVENUE BOUGUIBA,SENEGAL
"LABORATOIRE DE LA PETITE COTE ""LPC BIOKOURABY""",BP 5246 – SALY,SENEGAL
LABORATOIRE DISCACCIATI,"130, RUE MOUSSÉ DIOP EX BLANCHOT",SENEGAL
LABORATOIRE GOLF SUD,VILLA N°K43 HAMO 1 GOLF SUD,SENEGAL
LABORATOIRE HOUDROUGE,30 RUE PAUL HOLLE,SENEGAL
LABORATOIRE SOLABSEN (EX ESPLAN),39 RUE MOHAMED V X VICTOR HUGO,SENEGAL
SGLM – LABORATOIRE DE SOUZA,"78, RUE MOUSSÉ DIOP",SENEGAL
SUNULABO,BAT. URGENCES CARDIO – MERMOZ ANCIENNE PISTE,SENEGAL
LABORATOIRE BIONISSA,"BOULEVARD DU GÉNÉRAL DE GAULLE X RUE 43. COLOBANE, DAKAR – SÉNÉG",SENEGAL
LABORATOIRE D'ANALYSES DE BIOLOGIE MEDICALE SOKHNA MAME DIARRA,TOUBA,SENEGAL
LABORATOIRE D'ANALYSES DE BIOLOGIE MEDICALE CHEIKH AHMADOU BAMBA (DR GUEDA COBAR),TOUBA ,SENEGAL
COMPLEXE MEDICALE DE LA CORNICHE OUEST (CMCO),CORNICHE OUEST FANN RESIDENCE COLLE AU RADISSON HÔTEL,SENEGAL
DR AMADOU GALLO DIOP,NEUROPOLE – RUE AIMÉE CÉSAIRE X RUE D (FN23) FANN RÉSIDENCE,SENEGAL
DR KASSEM KHALAF,CLINIQUE DE LA MADELEINE 18 AVENUE DES JAMBAARS,SENEGAL
DR MOUSTAPHA NDIAYE,CLINIQUE LA CLÉMENCE N°47 ROND-POINT NORD FOIRE,SENEGAL
DR WADE FATOU,PLATEAU MÉDICAL KERMEL – 22 BLD DJILY MBAYE X RUE HENRI MALAN,SENEGAL
DR ZEINA JOUBAILY,"71 RUE FELIX FAURE
DAKAR - SÉNÉGAL",SENEGAL
DR ARONA KANE DIALLO,CABINET CARIN EN FACE EX CTO GRAND-YOFF,SENEGAL
CABINET « RIO-VISION »,GUENDEL 2 DERRIÈRE LA STATION SHELL – RUFISQUE,SENEGAL
CENTRE D’OPHTALMOLOGIE L.S. S,PLACE DE CARROUSEL,SENEGAL
CENTRE OPHTALMOLOGIQUE DIAMY BEUT,10E EX. RIOM LOT N°52,SENEGAL
CLINIQUE MIXTE MOUHAMADOU FADEL MBACKE,ROUTE DE MBACKE PRÈS DE LA STATION ELTON,SENEGAL
DR ABRAM CLAUDE,5 AVENUE GEORGES POMPIDOU,SENEGAL
DR ATTYE NADER,20 RUE MOHAMED V,SENEGAL
DR BERRAKI SMAÏL,COMPLEXE MÉDICAL DE LA CORNICHE OUEST,SENEGAL
DR HOBALLAH HASSAN,PLATEAU MÉDICAL OUAKAM – RTE DE OUAKAM X TALLY AMERICAIN,SENEGAL
DR MANGARA D’ERNEVILLE CAROLE,5/7 AVENUE CARDE – IMM. COTECNA,SENEGAL
DR NDIAYE COURA SÈYE,76 RUE MOUSSÉ DIOP X RUE THIONG,SENEGAL
DR NDIAYE MAR,"CENTRE MÉDICAL, 33 RUE D ANGLE AIMÉE CÉSAIRE FANN RÉSIDENCE",SENEGAL
DR NDIAYE PAPA AMADOU,93 RUE A.A. NDOYE – BLOC CARNOT,SENEGAL
DR NIANG RAKIATOU,12 RUE JULES FERRY,SENEGAL
DR NONGONIERMA CIGIRI CARINE,CLINIQUE RABY – RUE 13 CASTORS DERKLÉ,SENEGAL
DR SY AWA DIAGNE,22 RUE WAGANE DIOUF,SENEGAL
CABINET MEDICAL OPHTALMOLOGUE,"CITE EL HADJ MALICK SY, OUAKAM",SENEGAL
DAKAR OPHTALMO CLINIQUE," 5 AVENUE GEORGES POMPIDOU, DAKAR",SENEGAL
CABINET MEDICAL D'OPHTALMOLOGIE : DR AMADOU NDENE DIALLO,KEUR ISSA-ROUTE DE FANDÉNE - THIÈS,SENEGAL
DR ERICK ROTH,"CLINIQUE DU CAP, AVENUE INSTITUT PASTEUR DAKAR, SÉNÉGAL, LES ABYMES, POINTE-À-PITRE 97139",SENEGAL
CENTRE D'OPHTALMOLOGIE SENGHOR SARL,PLACE DE CARROUSEL,SENEGAL
CLINIQUE DES YEUX,"ROUTE DE L'AEROPORT, DAKAR, RÉGION DE DAKAR 12000",SENEGAL
CASA OPTIQUE,44 RUE DR CARVALHO,SENEGAL
L’ATELIER DE L’OPTIQUE,52 RUE FÉLIX FAURE,SENEGAL
LES YEUX D’ANGES,LOT. 30 SOTRAC MERMOZ ANCIENNE PISTE,SENEGAL
LES YEUX D’ANGES,ENTRÉE MARISTE 2 P. 99 APRÈS BANQUE BICIS,SENEGAL
LOOK OPTIQUE ALMADIES,CC DAKAR CITY – ROUTE DES ALMADIES,SENEGAL
LOOK OPTIQUE PLATEAU,78 RUE MOUSSÉ DIOP,SENEGAL
LOOK OPTIQUE SEA PLAZA,CC SEA PLAZA – ROUTE DE LA CORNICHE OUEST,SENEGAL
LUXE OPTIQUE,10 VDN EN FACE MERMOZ,SENEGAL
MA. FA VISION,KM 14 RTE DE RUFISQUE,SENEGAL
MYANE OPTIQUE,9 RUE AMADOU ASSANE NDOYE,SENEGAL
NEPTUNE OPTIQUE,19 RUE PARCHAPPE – IMM. FAYCAL RDC,SENEGAL
OPTIC PRESTIGE,RUE 12 AVENUE BOURGUIBA,SENEGAL
OPTIKA SARL,67 RUE VINCENS,SENEGAL
OPTIKAM,ESPACE ALLIANCE KM 5 AVENUE CHEIKH ANTA DIOP,SENEGAL
OPTIPLUS,CC SCORE SAHM,SENEGAL
OPTIQUE BAYE SEYNOU,YOFF LAYENNE,SENEGAL
OPTIQUE BOYERS ET FRERES,15 RUE RAMEZ BOURGI,SENEGAL
OPTIQUE HORIZON,14 RUE MOHAMED V,SENEGAL
OPTIQUE NOÉ SALY,PLACE DE CARROUSEL,SENEGAL
OPTIQUE PONTY,24 AVENUE GEORGES POMPIDOU,SENEGAL
OPTIVISION,AGENCE BOPP – RUE 7 N°255,SENEGAL
RETINA OPTIQUE,56 RUE AMADOU ASSANE NDOYE,SENEGAL
SEN OPTIC SARL,OPTIC’ AVENUE – 23 AVENUE LÉOPOLD SÉDAR SENGHOR,SENEGAL
SENEGOPT,129 AVENUE LAMINE GUÈYE,SENEGAL
THIES OPTIQUE,3 RUE CARRIÈRE,SENEGAL
VOIR OPTIQUE SUARL,37 VDN LIBERTÉ 6 EXTENSION,SENEGAL
YELETA OPTIC,LOT. Z95 HANN MARISTE 2,SENEGAL
NOUROU DARAYNI OPTIQUE,"V44C+H74, N3, TOUBA, SENEGAL",SENEGAL
NOUROU DARAYNI OPTIQUE,"V44C+H74, N3, TOUBA, SENEGAL",SENEGAL
VERA OPTIK,"56 RUE BUGNICOURT (EX KLÉBER) ANGLE AVENUE CARDE, DAKAR, SENEGAL",SENEGAL
ESPACE VISION,"69, RUE AMADOU A. NDOYE
DAKAR",SENEGAL
COIN OPTIQUE,"LIBERTÉ VI EXTENSION, DERRIÈRE IMMEUBLE YUNDAI, DAKAR, SENEGAL",SENEGAL
DAKAR OPTIC,"32 RUE JULES FERRY , DAKAR, SENEGAL",SENEGAL
OPTIQUE ABIDI,"41 AV.GEORGES POMPIDOU DAKAR-PLATEAU , DAKAR, SENEGAL",SENEGAL
NABIL OPTIQUE,"HLM 3 VILLA N°951, AVENUE CHEIKH AHMADOU BAMBA PRÈS DE L'AUCHAN DES HLM, DAKAR, SENEGAL",SENEGAL
CENTRE OPTIQUE,77 RUE JOSEPH GOMIS X GEORGES POMPIDOU,SENEGAL
KER OPTIQUE,"RUE 6, DAKAR, SÉNÉGAL",SENEGAL
EXTRA VISION,SACRÉ CŒUR III VDN VILLA 23,SENEGAL
LUC ET LEA OPTIQUE,"LIBERTÉ 5, N°5430 - ROND POINT JVC",SENEGAL
VISION CLAIRE OPTIQUE ,"KEUR MASSAR, ROUTE DE JAXAAY",SENEGAL
OPTICALIA,ROUTE DE L'AEROPORT DE YOFF,SENEGAL
APEX OPTICS,SACRÉ CŒUR 3 ROND POINT JVC,SENEGAL
ALAIN AFFLELOU,RUE DE THIONG X WAGANE DIOUF,SENEGAL
DR DIENG MOUHAMADOU,RUE A X ALLÉES SEYDOU NOUROU TALL,SENEGAL
DR FALL DORIANE M. - CABINET MEDICAL OCÉANE,ROUTE DES ALMADIES – A CÔTÉ BOULANGERIE LA GRAINE D’OR,SENEGAL
DR HAWILI HUSSEIN,CLINQUE BELLEVUE – CAP MANUEL CORNICHE EST,SENEGAL
DR JAOUICHE ROBERT,RUE KAOLACK X CANAL 5,SENEGAL
DR TENDING GILBERT,CLINIQUE INTERNATIONALE – 33 BD DIAL DIOP,SENEGAL
DR THIOYE NDÈYE AWA,5&7 AVENUE CARDE – IMM . CARDE MEZZANINE,SENEGAL
MEDISEN,CENTRE MÉDICAL FANN RÉSIDENCE – AV AIMÉE CÉSAIRE X RUE D,SENEGAL
DR EL HADJI MALICK DIOP,IMTEC RUE D ANGLE AIMÉ CÉSAIRE FANN RÉSIDENCE,SENEGAL
CENTRE NATIONAL D’APPAREILLAGE,AVENUE CHEIKH ANTA DIOP,SENEGAL
DR DIOUF SOUVASIN,"IMMEUBLE AXA, PLACE DE L’INDÉPENDANCE",SENEGAL
DR ELIMANE MBAYE,GLOBAL SANTÉ SOTRAC MERMOZ,SENEGAL
DR KONATE DRAMANE,123 RUE CARNOT X RUE CALMETTE,SENEGAL
DR RAYAN SAAD,CLINQUE BELLEVUE – ROUTE DE LA CORNICHE EST,SENEGAL
DR SENE MAMADOU,HÔPITAL PRINCIPAL – AVENUE NELSON MANDELA ,SENEGAL
BRITO THIERRY,5 AVENUE GEORGES POMPIDOU – IM. SOKHNA ANTA,SENEGAL
JAOUAR CHÉRINE,CLINIQUE DE LA VISION – CORNICHE EST ,SENEGAL
LOUBET CHRISTINE DELORME,5 AVENUE GEORGES POMPIDOU – IMM. SOKHNA ANTA,SENEGAL
DR MAGATTE NDAW,IMM SOKHNA ANTA MBACKE N° 54 SALY,SENEGAL
CABINET DR SAFIATOU SAMA TRAORE,"9 RUE JACQUES BUGNICOURT, DAKAR, SÉNÉGAL",SENEGAL
CABINET MEDICAL MAMADINDING GASSAMA DR MARIAMA DIAKHATE BA,,SENEGAL
CABINET NEST,,SENEGAL
CAP SANTÉ – DR ALEXE N. TABAR,"RTE DES NIAYES - PATTE D'OIE
DAKAR",SENEGAL
DR BA MAMADOU,,SENEGAL
DR BAGNOU SEINI,,SENEGAL
DR CHAUVIN MARÈME DIALLO,,SENEGAL
DR CHEBBI OUAFAE ACHNIN,,SENEGAL
DR CORR FATOU NIANG,,SENEGAL
DR DIAME DIEME FLORENCE M. J.,SICAP MERMOSE VDN,SENEGAL
DR DIOP ABDOU KHADRE,,SENEGAL
DR DIOP CHEIKH,,SENEGAL
DR JOUBAILY HUSSEIN,,SENEGAL
DR KADRA SARAH AIDIBÉ,,SENEGAL
DR LILIANE MAHOU NICOUE,,SENEGAL
DR MADJIDABAYE JÉRÔME T.,,SENEGAL
DR MBAYE NGAGNE,,SENEGAL
DR NDIAYE OUSMANE,,SENEGAL
DR SAKHO AWA LY,,SENEGAL
DR SEYE IBRAHIMA,,SENEGAL
DR SOARES GEORGETTE MIRANDA L.,,SENEGAL
DR TALL BINETOU THIAM,,SENEGAL
DR THIAKANE MICHEL,,SENEGAL
PEDIATRIE 24 – DR MANAMA DEOGRATIAS,,SENEGAL
PR KA AMADOU SIDY,,SENEGAL
PR MARTIN LÉANDRE,,SENEGAL
DR KOKOU MICHEL GNOFAME,"AVENUE FELIX HOUPHOUET BOIGNY, THIES",SENEGAL
DR MARIEME SOUMARA NDIAYE,93 RUE AMADOU ASSANE NDOYE,SENEGAL
DR IDRISSA DEMBA BA,"FANN, POINT E",SENEGAL
CABINET PEDIATRIQUE MIMOSA ,LIBERTÉ 6 EXTENSION PLLE 8116 1ER ÉTAGE À GAUCHE,SENEGAL
CABINET MEDICAL MAMADINDING GASSAMA DR MARIAMA DIAKHATE BA,"JAXAAY, ALMADIES 2",SENEGAL
CABINET MEDICAL LES ENFANTS D'EVA ,"CITÉ MARIIAMA, MBORO",SENEGAL
PHARMACIE ABDOU AZIZ SY,NDIANGUÉ EN FACE SAED – RTE NATIONALE,SENEGAL
PHARMACIE AFRICAINE,33 AVENUE LAMINE GUÈYE,SENEGAL
PHARMACIE AINOUMADY,KEUR MASSAR,SENEGAL
PHARMACIE ALHASSSANE SALAME,CITÉ BOUDIOUCK,SENEGAL
PHARMACIE ALLEES CANARD,4 RUE EL HADJI MBAYE GUÈYE EX. SANDINIÉRY,SENEGAL
PHARMACIE AMADOU,NGALLELE,SENEGAL
PHARMACIE ANNA KADET,CORNICHE EST X RUELLE FACE PORTAIL HOPITAL A. LE DANTEC,SENEGAL
PHARMACIE ARAFAT,EN FACE POSTE HLM GRAND YOFF,SENEGAL
PHARMACIE ASTELE,BD MAURICE GUEYE,SENEGAL
PHARMACIE ATLANTIC,CITÉ DES MAGISTRATS – ZONE DES MAMELLES,SENEGAL
PHARMACIE BAKH YAYE DE LOUGA,LOUGA,SENEGAL
PHARMACIE BIRANE LY,KEUR MASSAR CITÉ KANGUÉ LOT N°04 RTE JAXAAY ,SENEGAL
PHARMACIE BOISSON,3 RUE PARENT,SENEGAL
PHARMACIE CENTRALE,AVENUE OUSMANE SOCÉ DIOP,SENEGAL
PHARMACIE COLOBANE,41 BOULEVARD DU GAL DE GAULLE,SENEGAL
PHARMACIE DAKAROISE,"41, BOULEVARD EL HADJI DJILY MBAYE",SENEGAL
PHARMACIE DAROU SALAM, LOT N°331 ALMADIES 2 SEDIMA – FACE STATION SHELL JAXAAY,SENEGAL
PHARMACIE DE LA PETITE COTE ADAMS,BOULEVARD H. BOIGNY,SENEGAL
PHARMACIE DE LA RUE 6,MEDINA RUE 6 X RUE 5,SENEGAL
PHARMACIE DEMBA KOITA,SICAP SACRÉ CŒUR PYROTECHNIE,SENEGAL
PHARMACIE DIAMAGUENE,"KM 15, ROUTE DE RUFISQUE",SENEGAL
PHARMACIE DU BOULEVARD SUD,SUD SAINT-LOUIS,SENEGAL
PHARMACIE DU CAYOR,453 AVENUE DU PDT LAMINE GUEYE X PLACE DE FRANCE,SENEGAL
PHARMACIE DU GUET,IMM. FAYCAL – RUE HUART X AVENUE SARRAUT,SENEGAL
PHARMACIE DU POINT E,BOULEVARD DE L’EST – POINT E,SENEGAL
PHARMACIE DU POTOU,"KM 4,5 BD DU C.C.D.",SENEGAL
PHARMACIE DU RAIL,AVENUE DU PDT LÉOPOLD SÉDAR SENGHOR,SENEGAL
PHARMACIE DU ROND POINT,55 AVENUE HASSAN II,SENEGAL
PHARMACIE DU SOLEIL,AVENUE CHEIKH AHMADOU BAMBA,SENEGAL
PHARMACIE DU STADE L.S.S.,P.A. UNITÉ 25 N°89,SENEGAL
PHARMACIE EL HADJ MALICK SY,"66, AVENUE EL H. MALICK SY",SENEGAL
PHARMACIE EL HADJ OUMAR TALL,OUROSSOGUI,SENEGAL
PHARMACIE FAA IKHAL MAKHIS,TOUBA MADYANA,SENEGAL
PHARMACIE GALLIENI,RUE MAL GALLIÉNI - PLATEAU,SENEGAL
PHARMACIE GAMBETTA,114 AVENUE PDT LAMINE GUÈYE,SENEGAL
PHARMACIE GUIGON,"101, AVENUE LAMINE GUÈYE",SENEGAL
PHARMACIE INCH ALLAH,"RUE ABÉBÉ BIKILA, EN FACE STADE DEMBA DIOP",SENEGAL
PHARMACIE KERMEL,1 PLACE KERMEL,SENEGAL
PHARMACIE KEUR DAMEL,"46, CITE KEUR DAMEL, NORD FOIRE",SENEGAL
PHARMACIE KHADIJA BA,PIKINE NORD PN1 TALLY BOUMACK,SENEGAL
PHARMACIE LA ROCADE,ROCADE HANN BEL AIR,SENEGAL
PHARMACIE LE PAKAO,SEDHIOU,SENEGAL
PHARMACIE LGI MBAO,CITÉ SICA VILLA N°28,SENEGAL
PHARMACIE MABOUSSO THIAM,11 ROUTE DU FRONT DE TERRE,SENEGAL
PHARMACIE MADIBA,SICAP LIBERTÉ V VILLA N°5443,SENEGAL
PHARMACIE MAME DIARRA BOUSSO,CITÉ SOPRIM,SENEGAL
PHARMACIE MAME FAMA NDIAYE,CITÉ PROMOCAP VILLA 223 PETIT MBAO,SENEGAL
PHARMACIE MAME FATOU BA,BOULEVARD DIAL DIOP,SENEGAL
PHARMACIE MAME MADIA,SOR,SENEGAL
PHARMACIE MAME OUMY GUEYE,SACRÉ CŒUR III PYROTECHNIE,SENEGAL
PHARMACIE MARIE SARR,CITÉ IMPRIMERIE TERRAIN BASKET HLM RUFISQUE,SENEGAL
PHARMACIE MARTIN LUTHER KING,VDN – FACE IMMEUBLE SONATEL,SENEGAL
PHARMACIE MODERNE,AVENUE OUSMANE SOCÉ DIOP,SENEGAL
PHARMACIE NAFISSA,ROUTE DE L’AÉROPORT L.S. SENGHOR,SENEGAL
PHARMACIE NEMA,RUE L’HÔPITAL RÉGIONAL,SENEGAL
